# DIRECT ASCENT ASAT TRAJECTORY EPHEMERIS (ECI J2000)
# Time of Flight: 9000 seconds
# Columns: Time(s), Pos_X(m), Pos_Y(m), Pos_Z(m), Vel_X(m/s), Vel_Y(m/s), Vel_Z(m/s)
# -----------------------------------------------------------------------------------------------
    0,   4830443.4772,   4053223.3401,   1689606.1846,  -2883.4769,   6596.3544,   7837.6624
    1,   4827556.5427,   4059816.7912,   1697442.6355,  -2890.3893,   6590.5478,   7835.2382
    2,   4824662.7042,   4066404.4362,   1705276.6589,  -2897.2849,   6584.7424,   7832.8073
    3,   4821761.9785,   4072986.2764,   1713108.2480,  -2904.1637,   6578.9382,   7830.3697
    4,   4818854.3824,   4079562.3131,   1720937.3961,  -2911.0258,   6573.1354,   7827.9254
    5,   4815939.9326,   4086132.5476,   1728764.0965,  -2917.8711,   6567.3338,   7825.4745
    6,   4813018.6458,   4092696.9812,   1736588.3428,  -2924.6996,   6561.5337,   7823.0169
    7,   4810090.5389,   4099255.6153,   1744410.1282,  -2931.5115,   6555.7349,   7820.5529
    8,   4807155.6284,   4105808.4514,   1752229.4464,  -2938.3067,   6549.9375,   7818.0823
    9,   4804213.9311,   4112355.4908,   1760046.2907,  -2945.0852,   6544.1416,   7815.6052
   10,   4801265.4636,   4118896.7350,   1767860.6547,  -2951.8470,   6538.3471,   7813.1217
   11,   4798310.2426,   4125432.1855,   1775672.5320,  -2958.5922,   6532.5542,   7810.6318
   12,   4795348.2847,   4131961.8438,   1783481.9162,  -2965.3209,   6526.7627,   7808.1356
   13,   4792379.6064,   4138485.7115,   1791288.8010,  -2972.0329,   6520.9729,   7805.6330
   14,   4789404.2244,   4145003.7902,   1799093.1802,  -2978.7283,   6515.1847,   7803.1242
   15,   4786422.1553,   4151516.0814,   1806895.0473,  -2985.4072,   6509.3980,   7800.6091
   16,   4783433.4155,   4158022.5868,   1814694.3963,  -2992.0696,   6503.6131,   7798.0878
   17,   4780438.0216,   4164523.3081,   1822491.2208,  -2998.7155,   6497.8298,   7795.5603
   18,   4777435.9900,   4171018.2470,   1830285.5149,  -3005.3449,   6492.0483,   7793.0268
   19,   4774427.3373,   4177507.4052,   1838077.2723,  -3011.9578,   6486.2684,   7790.4871
   20,   4771412.0800,   4183990.7845,   1845866.4871,  -3018.5542,   6480.4904,   7787.9414
   21,   4768390.2344,   4190468.3866,   1853653.1531,  -3025.1343,   6474.7141,   7785.3897
   22,   4765361.8169,   4196940.2133,   1861437.2644,  -3031.6979,   6468.9397,   7782.8320
   23,   4762326.8440,   4203406.2666,   1869218.8150,  -3038.2452,   6463.1671,   7780.2683
   24,   4759285.3320,   4209866.5483,   1876997.7991,  -3044.7761,   6457.3965,   7777.6988
   25,   4756237.2973,   4216321.0602,   1884774.2107,  -3051.2906,   6451.6277,   7775.1234
   26,   4753182.7562,   4222769.8043,   1892548.0439,  -3057.7889,   6445.8609,   7772.5422
   27,   4750121.7250,   4229212.7826,   1900319.2931,  -3064.2708,   6440.0960,   7769.9552
   28,   4747054.2201,   4235649.9970,   1908087.9523,  -3070.7365,   6434.3331,   7767.3624
   29,   4743980.2575,   4242081.4496,   1915854.0160,  -3077.1859,   6428.5723,   7764.7639
   30,   4740899.8537,   4248507.1423,   1923617.4783,  -3083.6191,   6422.8135,   7762.1598
   31,   4737813.0248,   4254927.0772,   1931378.3336,  -3090.0360,   6417.0568,   7759.5500
   32,   4734719.7870,   4261341.2565,   1939136.5764,  -3096.4368,   6411.3022,   7756.9346
   33,   4731620.1565,   4267749.6823,   1946892.2010,  -3102.8215,   6405.5497,   7754.3137
   34,   4728514.1495,   4274152.3566,   1954645.2019,  -3109.1900,   6399.7993,   7751.6872
   35,   4725401.7820,   4280549.2816,   1962395.5735,  -3115.5423,   6394.0512,   7749.0552
   36,   4722283.0702,   4286940.4596,   1970143.3105,  -3121.8786,   6388.3052,   7746.4178
   37,   4719158.0302,   4293325.8928,   1977888.4072,  -3128.1988,   6382.5615,   7743.7749
   38,   4716026.6780,   4299705.5833,   1985630.8585,  -3134.5029,   6376.8200,   7741.1267
   39,   4712889.0296,   4306079.5336,   1993370.6588,  -3140.7911,   6371.0808,   7738.4731
   40,   4709745.1011,   4312447.7458,   2001107.8029,  -3147.0632,   6365.3440,   7735.8142
   41,   4706594.9086,   4318810.2223,   2008842.2854,  -3153.3193,   6359.6094,   7733.1500
   42,   4703438.4678,   4325166.9655,   2016574.1012,  -3159.5595,   6353.8773,   7730.4806
   43,   4700275.7948,   4331517.9776,   2024303.2449,  -3165.7838,   6348.1475,   7727.8060
   44,   4697106.9056,   4337863.2612,   2032029.7114,  -3171.9921,   6342.4201,   7725.1262
   45,   4693931.8159,   4344202.8186,   2039753.4955,  -3178.1845,   6336.6951,   7722.4412
   46,   4690750.5418,   4350536.6523,   2047474.5922,  -3184.3611,   6330.9726,   7719.7512
   47,   4687563.0989,   4356864.7647,   2055192.9963,  -3190.5219,   6325.2526,   7717.0561
   48,   4684369.5033,   4363187.1584,   2062908.7027,  -3196.6668,   6319.5351,   7714.3560
   49,   4681169.7706,   4369503.8358,   2070621.7066,  -3202.7959,   6313.8201,   7711.6509
   50,   4677963.9166,   4375814.7995,   2078332.0028,  -3208.9093,   6308.1077,   7708.9408
   51,   4674751.9572,   4382120.0521,   2086039.5865,  -3215.0069,   6302.3979,   7706.2258
   52,   4671533.9080,   4388419.5962,   2093744.4527,  -3221.0888,   6296.6906,   7703.5059
   53,   4668309.7848,   4394713.4343,   2101446.5966,  -3227.1550,   6290.9860,   7700.7811
   54,   4665079.6032,   4401001.5691,   2109146.0133,  -3233.2056,   6285.2840,   7698.0515
   55,   4661843.3788,   4407284.0033,   2116842.6980,  -3239.2405,   6279.5847,   7695.3171
   56,   4658601.1275,   4413560.7395,   2124536.6460,  -3245.2597,   6273.8881,   7692.5780
   57,   4655352.8646,   4419831.7804,   2132227.8524,  -3251.2634,   6268.1942,   7689.8341
   58,   4652098.6059,   4426097.1288,   2139916.3127,  -3257.2515,   6262.5031,   7687.0856
   59,   4648838.3669,   4432356.7875,   2147602.0220,  -3263.2240,   6256.8147,   7684.3324
   60,   4645572.1630,   4438610.7591,   2155284.9759,  -3269.1810,   6251.1291,   7681.5746
   61,   4642300.0100,   4444859.0465,   2162965.1696,  -3275.1225,   6245.4463,   7678.8122
   62,   4639021.9232,   4451101.6526,   2170642.5987,  -3281.0486,   6239.7663,   7676.0452
   63,   4635737.9180,   4457338.5800,   2178317.2585,  -3286.9591,   6234.0891,   7673.2737
   64,   4632448.0100,   4463569.8318,   2185989.1446,  -3292.8543,   6228.4149,   7670.4977
   65,   4629152.2146,   4469795.4107,   2193658.2525,  -3298.7341,   6222.7435,   7667.7173
   66,   4625850.5470,   4476015.3198,   2201324.5777,  -3304.5984,   6217.0750,   7664.9324
