# DIRECT ASCENT ASAT TRAJECTORY EPHEMERIS (ECI J2000)
# Time of Flight: 450.0 seconds
# Columns: Time(s), Pos_X(km), Pos_Y(km), Pos_Z(km), Vel_X(km/s), Vel_Y(km/s), Vel_Z(km/s)
# ---------------------------------------------------------------------------------------------------------
    0,      4830.4435,      4053.2233,      1689.6062,    -20.9652,     -2.5156,      7.4594
    1,      4809.4748,      4050.7048,      1697.0644,    -20.9722,     -2.5214,      7.4569
    2,      4788.4992,      4048.1805,      1704.5201,    -20.9791,     -2.5273,      7.4545
    3,      4767.5166,      4045.6502,      1711.9733,    -20.9861,     -2.5332,      7.4520
    4,      4746.5270,      4043.1141,      1719.4241,    -20.9931,     -2.5391,      7.4495
    5,      4725.5305,      4040.5719,      1726.8723,    -21.0001,     -2.5451,      7.4469
    6,      4704.5269,      4038.0238,      1734.3179,    -21.0071,     -2.5511,      7.4444
    7,      4683.5163,      4035.4697,      1741.7609,    -21.0141,     -2.5572,      7.4417
    8,      4662.4987,      4032.9095,      1749.2014,    -21.0212,     -2.5633,      7.4391
    9,      4641.4740,      4030.3431,      1756.6392,    -21.0282,     -2.5694,      7.4364
   10,      4620.4422,      4027.7707,      1764.0743,    -21.0353,     -2.5756,      7.4338
   11,      4599.4033,      4025.1920,      1771.5067,    -21.0424,     -2.5818,      7.4310
   12,      4578.3573,      4022.6071,      1778.9363,    -21.0496,     -2.5880,      7.4283
   13,      4557.3042,      4020.0160,      1786.3632,    -21.0567,     -2.5943,      7.4255
   14,      4536.2440,      4017.4185,      1793.7873,    -21.0638,     -2.6006,      7.4227
   15,      4515.1765,      4014.8147,      1801.2085,    -21.0710,     -2.6070,      7.4198
   16,      4494.1019,      4012.2045,      1808.6269,    -21.0782,     -2.6134,      7.4169
   17,      4473.0201,      4009.5879,      1816.0424,    -21.0854,     -2.6198,      7.4140
   18,      4451.9311,      4006.9648,      1823.4549,    -21.0926,     -2.6263,      7.4111
   19,      4430.8348,      4004.3353,      1830.8645,    -21.0999,     -2.6329,      7.4081
   20,      4409.7313,      4001.6991,      1838.2711,    -21.1071,     -2.6394,      7.4051
   21,      4388.6205,      3999.0564,      1845.6747,    -21.1144,     -2.6460,      7.4020
   22,      4367.5025,      3996.4070,      1853.0752,    -21.1217,     -2.6527,      7.3990
   23,      4346.3772,      3993.7510,      1860.4726,    -21.1290,     -2.6594,      7.3959
   24,      4325.2445,      3991.0883,      1867.8669,    -21.1363,     -2.6661,      7.3927
   25,      4304.1046,      3988.4188,      1875.2581,    -21.1436,     -2.6729,      7.3895
   26,      4282.9573,      3985.7425,      1882.6460,    -21.1510,     -2.6797,      7.3863
   27,      4261.8026,      3983.0593,      1890.0307,    -21.1583,     -2.6866,      7.3831
   28,      4240.6406,      3980.3693,      1897.4121,    -21.1657,     -2.6935,      7.3798
   29,      4219.4712,      3977.6723,      1904.7902,    -21.1731,     -2.7004,      7.3765
   30,      4198.2943,      3974.9684,      1912.1650,    -21.1805,     -2.7074,      7.3731
   31,      4177.1101,      3972.2574,      1919.5364,    -21.1879,     -2.7145,      7.3697
   32,      4155.9185,      3969.5394,      1926.9044,    -21.1954,     -2.7216,      7.3663
   33,      4134.7194,      3966.8143,      1934.2690,    -21.2028,     -2.7287,      7.3628
   34,      4113.5129,      3964.0820,      1941.6300,    -21.2103,     -2.7359,      7.3593
   35,      4092.2989,      3961.3426,      1948.9876,    -21.2177,     -2.7431,      7.3558
   36,      4071.0774,      3958.5959,      1956.3416,    -21.2252,     -2.7503,      7.3522
   37,      4049.8484,      3955.8419,      1963.6920,    -21.2327,     -2.7576,      7.3486
   38,      4028.6120,      3953.0806,      1971.0387,    -21.2402,     -2.7650,      7.3449
   39,      4007.3680,      3950.3119,      1978.3818,    -21.2477,     -2.7724,      7.3412
   40,      3986.1165,      3947.5358,      1985.7211,    -21.2553,     -2.7798,      7.3375
   41,      3964.8574,      3944.7522,      1993.0567,    -21.2628,     -2.7873,      7.3337
   42,      3943.5908,      3941.9611,      2000.3885,    -21.2704,     -2.7949,      7.3299
   43,      3922.3167,      3939.1625,      2007.7165,    -21.2779,     -2.8024,      7.3260
   44,      3901.0349,      3936.3562,      2015.0406,    -21.2855,     -2.8101,      7.3221
   45,      3879.7456,      3933.5423,      2022.3607,    -21.2931,     -2.8177,      7.3182
   46,      3858.4487,      3930.7207,      2029.6769,    -21.3007,     -2.8255,      7.3142
   47,      3837.1442,      3927.8914,      2036.9891,    -21.3083,     -2.8332,      7.3102
   48,      3815.8321,      3925.0543,      2044.2973,    -21.3159,     -2.8410,      7.3061
   49,      3794.5123,      3922.2093,      2051.6014,    -21.3236,     -2.8489,      7.3020
   50,      3773.1850,      3919.3564,      2058.9014,    -21.3312,     -2.8568,      7.2979
   51,      3751.8499,      3916.4956,      2066.1972,    -21.3388,     -2.8648,      7.2937
   52,      3730.5073,      3913.6268,      2073.4887,    -21.3465,     -2.8728,      7.2895
   53,      3709.1569,      3910.7500,      2080.7761,    -21.3542,     -2.8809,      7.2852
   54,      3687.7989,      3907.8651,      2088.0591,    -21.3618,     -2.8890,      7.2809
   55,      3666.4333,      3904.9721,      2095.3378,    -21.3695,     -2.8971,      7.2765
   56,      3645.0599,      3902.0708,      2102.6120,    -21.3772,     -2.9053,      7.2721
   57,      3623.6789,      3899.1614,      2109.8819,    -21.3849,     -2.9136,      7.2676
   58,      3602.2902,      3896.2437,      2117.1473,    -21.3926,     -2.9219,      7.2631
   59,      3580.8937,      3893.3176,      2124.4081,    -21.4003,     -2.9302,      7.2586
   60,      3559.4896,      3890.3832,      2131.6644,    -21.4080,     -2.9386,      7.2540
   61,      3538.0777,      3887.4403,      2138.9160,    -21.4157,     -2.9471,      7.2493
   62,      3516.6582,      3884.4890,      2146.1630,    -21.4234,     -2.9556,      7.2446
   63,      3495.2309,      3881.5291,      2153.4053,    -21.4311,     -2.9641,      7.2399
   64,      3473.7959,      3878.5607,      2160.6428,    -21.4389,     -2.9728,      7.2351
   65,      3452.3531,      3875.5836,      2167.8755,    -21.4466,     -2.9814,      7.2303
   66,      3430.9027,      3872.5978,      2175.1034,    -21.4543,     -2.9901,      7.2254
   67,      3409.4445,      3869.6034,      2182.3264,    -21.4621,     -2.9989,      7.2205
   68,      3387.9785,      3866.6001,      2189.5444,    -21.4698,     -3.0077,      7.2155
   69,      3366.5048,      3863.5880,      2196.7574,    -21.4776,     -3.0165,      7.2105
   70,      3345.0234,      3860.5670,      2203.9653,    -21.4853,     -3.0254,      7.2054
   71,      3323.5342,      3857.5371,      2211.1681,    -21.4930,     -3.0344,      7.2003
   72,      3302.0373,      3854.4982,      2218.3658,    -21.5008,     -3.0434,      7.1951
   73,      3280.5327,      3851.4502,      2225.5583,    -21.5085,     -3.0525,      7.1899
   74,      3259.0203,      3848.3931,      2232.7456,    -21.5163,     -3.0616,      7.1846
   75,      3237.5001,      3845.3270,      2239.9275,    -21.5240,     -3.0708,      7.1793
   76,      3215.9722,      3842.2516,      2247.1041,    -21.5318,     -3.0800,      7.1739
   77,      3194.4366,      3839.1669,      2254.2752,    -21.5395,     -3.0893,      7.1684
   78,      3172.8932,      3836.0730,      2261.4409,    -21.5472,     -3.0986,      7.1630
   79,      3151.3421,      3832.9697,      2268.6011,    -21.5550,     -3.1080,      7.1574
   80,      3129.7833,      3829.8570,      2275.7557,    -21.5627,     -3.1174,      7.1518
   81,      3108.2167,      3826.7348,      2282.9047,    -21.5704,     -3.1269,      7.1462
   82,      3086.6424,      3823.6032,      2290.0481,    -21.5782,     -3.1364,      7.1405
   83,      3065.0604,      3820.4619,      2297.1856,    -21.5859,     -3.1460,      7.1347
   84,      3043.4706,      3817.3111,      2304.3175,    -21.5936,     -3.1557,      7.1289
   85,      3021.8732,      3814.1506,      2311.4434,    -21.6013,     -3.1654,      7.1230
   86,      3000.2680,      3810.9803,      2318.5635,    -21.6090,     -3.1751,      7.1171
   87,      2978.6552,      3807.8003,      2325.6776,    -21.6167,     -3.1849,      7.1111
   88,      2957.0347,      3804.6104,      2332.7858,    -21.6244,     -3.1948,      7.1051
   89,      2935.4064,      3801.4107,      2339.8878,    -21.6321,     -3.2047,      7.0990
   90,      2913.7705,      3798.2010,      2346.9838,    -21.6397,     -3.2147,      7.0929
   91,      2892.1270,      3794.9813,      2354.0736,    -21.6474,     -3.2247,      7.0867
   92,      2870.4758,      3791.7516,      2361.1571,    -21.6550,     -3.2347,      7.0804
   93,      2848.8169,      3788.5118,      2368.2344,    -21.6627,     -3.2449,      7.0741
   94,      2827.1504,      3785.2619,      2375.3053,    -21.6703,     -3.2550,      7.0677
   95,      2805.4763,      3782.0017,      2382.3698,    -21.6779,     -3.2653,      7.0613
   96,      2783.7946,      3778.7313,      2389.4279,    -21.6855,     -3.2756,      7.0548
   97,      2762.1053,      3775.4506,      2396.4794,    -21.6931,     -3.2859,      7.0483
   98,      2740.4084,      3772.1595,      2403.5244,    -21.7007,     -3.2963,      7.0416
   99,      2718.7040,      3768.8580,      2410.5627,    -21.7082,     -3.3067,      7.0350
  100,      2696.9919,      3765.5460,      2417.5943,    -21.7158,     -3.3172,      7.0283
  101,      2675.2724,      3762.2235,      2424.6192,    -21.7233,     -3.3278,      7.0215
  102,      2653.5453,      3758.8904,      2431.6372,    -21.7308,     -3.3384,      7.0146
  103,      2631.8107,      3755.5467,      2438.6484,    -21.7383,     -3.3490,      7.0077
  104,      2610.0687,      3752.1923,      2445.6526,    -21.7458,     -3.3598,      7.0007
  105,      2588.3191,      3748.8272,      2452.6499,    -21.7533,     -3.3705,      6.9937
  106,      2566.5622,      3745.4513,      2459.6400,    -21.7607,     -3.3813,      6.9866
  107,      2544.7978,      3742.0645,      2466.6231,    -21.7681,     -3.3922,      6.9795
  108,      2523.0259,      3738.6668,      2473.5990,    -21.7755,     -3.4031,      6.9723
  109,      2501.2467,      3735.2582,      2480.5676,    -21.7829,     -3.4141,      6.9650
  110,      2479.4602,      3731.8386,      2487.5289,    -21.7902,     -3.4251,      6.9577
  111,      2457.6662,      3728.4080,      2494.4829,    -21.7976,     -3.4362,      6.9503
  112,      2435.8650,      3724.9662,      2501.4294,    -21.8049,     -3.4473,      6.9428
  113,      2414.0565,      3721.5133,      2508.3684,    -21.8122,     -3.4585,      6.9353
  114,      2392.2407,      3718.0492,      2515.2999,    -21.8194,     -3.4697,      6.9277
  115,      2370.4176,      3714.5738,      2522.2238,    -21.8267,     -3.4810,      6.9200
  116,      2348.5874,      3711.0871,      2529.1400,    -21.8339,     -3.4924,      6.9123
  117,      2326.7499,      3707.5890,      2536.0484,    -21.8410,     -3.5038,      6.9045
  118,      2304.9053,      3704.0795,      2542.9490,    -21.8482,     -3.5152,      6.8967
  119,      2283.0535,      3700.5586,      2549.8418,    -21.8553,     -3.5267,      6.8888
  120,      2261.1947,      3697.0261,      2556.7266,    -21.8624,     -3.5382,      6.8808
  121,      2239.3287,      3693.4821,      2563.6034,    -21.8695,     -3.5498,      6.8728
  122,      2217.4557,      3689.9264,      2570.4722,    -21.8765,     -3.5615,      6.8647
  123,      2195.5757,      3686.3591,      2577.3328,    -21.8835,     -3.5732,      6.8565
  124,      2173.6888,      3682.7801,      2584.1853,    -21.8905,     -3.5849,      6.8483
  125,      2151.7948,      3679.1893,      2591.0294,    -21.8974,     -3.5967,      6.8400
  126,      2129.8940,      3675.5867,      2597.8653,    -21.9043,     -3.6085,      6.8317
  127,      2107.9863,      3671.9722,      2604.6928,    -21.9111,     -3.6204,      6.8233
  128,      2086.0718,      3668.3458,      2611.5118,    -21.9180,     -3.6324,      6.8148
  129,      2064.1504,      3664.7074,      2618.3223,    -21.9247,     -3.6444,      6.8062
  130,      2042.2223,      3661.0570,      2625.1242,    -21.9315,     -3.6564,      6.7976
  131,      2020.2875,      3657.3946,      2631.9175,    -21.9382,     -3.6685,      6.7889
  132,      1998.3459,      3653.7201,      2638.7020,    -21.9449,     -3.6806,      6.7802
  133,      1976.3978,      3650.0334,      2645.4778,    -21.9515,     -3.6928,      6.7714
  134,      1954.4430,      3646.3345,      2652.2448,    -21.9581,     -3.7050,      6.7625
  135,      1932.4816,      3642.6233,      2659.0028,    -21.9646,     -3.7173,      6.7536
  136,      1910.5138,      3638.8999,      2665.7519,    -21.9711,     -3.7296,      6.7446
  137,      1888.5394,      3635.1641,      2672.4919,    -21.9776,     -3.7420,      6.7355
  138,      1866.5586,      3631.4160,      2679.2228,    -21.9840,     -3.7544,      6.7263
  139,      1844.5715,      3627.6554,      2685.9445,    -21.9903,     -3.7668,      6.7171
  140,      1822.5780,      3623.8823,      2692.6571,    -21.9967,     -3.7793,      6.7079
  141,      1800.5782,      3620.0967,      2699.3603,    -22.0029,     -3.7918,      6.6985
  142,      1778.5721,      3616.2986,      2706.0541,    -22.0092,     -3.8044,      6.6891
  143,      1756.5599,      3612.4879,      2712.7385,    -22.0153,     -3.8170,      6.6797
  144,      1734.5415,      3608.6645,      2719.4135,    -22.0215,     -3.8297,      6.6702
  145,      1712.5170,      3604.8284,      2726.0788,    -22.0275,     -3.8424,      6.6606
  146,      1690.4864,      3600.9796,      2732.7346,    -22.0335,     -3.8552,      6.6509
  147,      1668.4499,      3597.1181,      2739.3806,    -22.0395,     -3.8680,      6.6412
  148,      1646.4074,      3593.2437,      2746.0169,    -22.0454,     -3.8808,      6.6314
  149,      1624.3591,      3589.3565,      2752.6434,    -22.0513,     -3.8937,      6.6215
  150,      1602.3049,      3585.4564,      2759.2600,    -22.0571,     -3.9066,      6.6116
  151,      1580.2449,      3581.5434,      2765.8666,    -22.0628,     -3.9195,      6.6017
  152,      1558.1792,      3577.6174,      2772.4633,    -22.0685,     -3.9325,      6.5916
  153,      1536.1079,      3573.6784,      2779.0498,    -22.0742,     -3.9455,      6.5815
  154,      1514.0309,      3569.7264,      2785.6262,    -22.0797,     -3.9586,      6.5713
  155,      1491.9484,      3565.7613,      2792.1925,    -22.0853,     -3.9717,      6.5611
  156,      1469.8604,      3561.7830,      2798.7484,    -22.0907,     -3.9848,      6.5508
  157,      1447.7670,      3557.7917,      2805.2940,    -22.0961,     -3.9979,      6.5404
  158,      1425.6682,      3553.7871,      2811.8293,    -22.1014,     -4.0111,      6.5300
  159,      1403.5642,      3549.7694,      2818.3541,    -22.1067,     -4.0244,      6.5195
  160,      1381.4548,      3545.7384,      2824.8683,    -22.1119,     -4.0376,      6.5090
  161,      1359.3404,      3541.6941,      2831.3720,    -22.1170,     -4.0509,      6.4984
  162,      1337.2208,      3537.6365,      2837.8650,    -22.1221,     -4.0642,      6.4877
  163,      1315.0961,      3533.5656,      2844.3474,    -22.1271,     -4.0776,      6.4770
  164,      1292.9665,      3529.4813,      2850.8190,    -22.1321,     -4.0910,      6.4662
  165,      1270.8320,      3525.3836,      2857.2797,    -22.1370,     -4.1044,      6.4553
  166,      1248.6926,      3521.2725,      2863.7296,    -22.1418,     -4.1178,      6.4444
  167,      1226.5485,      3517.1479,      2870.1685,    -22.1465,     -4.1313,      6.4334
  168,      1204.3997,      3513.0099,      2876.5965,    -22.1512,     -4.1448,      6.4224
  169,      1182.2462,      3508.8583,      2883.0133,    -22.1558,     -4.1583,      6.4113
  170,      1160.0882,      3504.6932,      2889.4191,    -22.1603,     -4.1719,      6.4002
  171,      1137.9257,      3500.5146,      2895.8137,    -22.1647,     -4.1854,      6.3890
  172,      1115.7588,      3496.3223,      2902.1970,    -22.1691,     -4.1990,      6.3777
  173,      1093.5875,      3492.1165,      2908.5690,    -22.1734,     -4.2127,      6.3664
  174,      1071.4120,      3487.8970,      2914.9297,    -22.1776,     -4.2263,      6.3550
  175,      1049.2322,      3483.6639,      2921.2790,    -22.1818,     -4.2400,      6.3436
  176,      1027.0484,      3479.4171,      2927.6168,    -22.1859,     -4.2536,      6.3321
  177,      1004.8605,      3475.1566,      2933.9431,    -22.1899,     -4.2673,      6.3205
  178,       982.6686,      3470.8824,      2940.2579,    -22.1938,     -4.2811,      6.3089
  179,       960.4729,      3466.5945,      2946.5610,    -22.1977,     -4.2948,      6.2973
  180,       938.2734,      3462.2928,      2952.8524,    -22.2014,     -4.3085,      6.2856
  181,       916.0701,      3457.9774,      2959.1321,    -22.2051,     -4.3223,      6.2738
  182,       893.8632,      3453.6482,      2965.4000,    -22.2087,     -4.3361,      6.2620
  183,       871.6527,      3449.3052,      2971.6560,    -22.2122,     -4.3499,      6.2501
  184,       849.4387,      3444.9484,      2977.9002,    -22.2157,     -4.3637,      6.2382
  185,       827.2213,      3440.5778,      2984.1324,    -22.2191,     -4.3775,      6.2262
  186,       805.0006,      3436.1934,      2990.3526,    -22.2223,     -4.3913,      6.2142
  187,       782.7766,      3431.7951,      2996.5608,    -22.2255,     -4.4052,      6.2022
  188,       760.5495,      3427.3830,      3002.7569,    -22.2287,     -4.4190,      6.1900
  189,       738.3194,      3422.9571,      3008.9409,    -22.2317,     -4.4329,      6.1779
  190,       716.0862,      3418.5172,      3015.1127,    -22.2346,     -4.4468,      6.1657
  191,       693.8501,      3414.0635,      3021.2722,    -22.2375,     -4.4606,      6.1534
  192,       671.6112,      3409.5959,      3027.4194,    -22.2403,     -4.4745,      6.1411
  193,       649.3696,      3405.1145,      3033.5544,    -22.2430,     -4.4884,      6.1288
  194,       627.1253,      3400.6191,      3039.6769,    -22.2456,     -4.5023,      6.1164
  195,       604.8784,      3396.1099,      3045.7871,    -22.2481,     -4.5162,      6.1039
  196,       582.6291,      3391.5867,      3051.8848,    -22.2505,     -4.5301,      6.0914
  197,       560.3774,      3387.0497,      3057.9699,    -22.2529,     -4.5440,      6.0789
  198,       538.1234,      3382.4988,      3064.0426,    -22.2551,     -4.5579,      6.0664
  199,       515.8672,      3377.9340,      3070.1026,    -22.2573,     -4.5718,      6.0538
  200,       493.6088,      3373.3553,      3076.1501,    -22.2594,     -4.5856,      6.0411
  201,       471.3485,      3368.7627,      3082.1848,    -22.2614,     -4.5995,      6.0284
  202,       449.0862,      3364.1562,      3088.2069,    -22.2633,     -4.6134,      6.0157
  203,       426.8220,      3359.5359,      3094.2162,    -22.2651,     -4.6273,      6.0029
  204,       404.5561,      3354.9017,      3100.2128,    -22.2668,     -4.6412,      5.9901
  205,       382.2885,      3350.2536,      3106.1965,    -22.2684,     -4.6550,      5.9773
  206,       360.0193,      3345.5916,      3112.1674,    -22.2699,     -4.6689,      5.9645
  207,       337.7486,      3340.9158,      3118.1254,    -22.2714,     -4.6827,      5.9516
  208,       315.4766,      3336.2262,      3124.0705,    -22.2727,     -4.6965,      5.9386
  209,       293.2032,      3331.5228,      3130.0026,    -22.2740,     -4.7104,      5.9257
  210,       270.9286,      3326.8055,      3135.9218,    -22.2752,     -4.7242,      5.9127
  211,       248.6529,      3322.0744,      3141.8280,    -22.2762,     -4.7380,      5.8996
  212,       226.3761,      3317.3295,      3147.7211,    -22.2772,     -4.7518,      5.8866
  213,       204.0984,      3312.5709,      3153.6011,    -22.2781,     -4.7655,      5.8735
  214,       181.8199,      3307.7985,      3159.4680,    -22.2789,     -4.7793,      5.8604
  215,       159.5406,      3303.0123,      3165.3218,    -22.2796,     -4.7930,      5.8472
  216,       137.2607,      3298.2124,      3171.1625,    -22.2803,     -4.8067,      5.8341
  217,       114.9801,      3293.3989,      3176.9900,    -22.2808,     -4.8204,      5.8209
  218,        92.6991,      3288.5716,      3182.8042,    -22.2812,     -4.8341,      5.8077
  219,        70.4178,      3283.7306,      3188.6053,    -22.2815,     -4.8478,      5.7944
  220,        48.1361,      3278.8761,      3194.3931,    -22.2818,     -4.8614,      5.7812
  221,        25.8542,      3274.0079,      3200.1676,    -22.2819,     -4.8750,      5.7679
  222,         3.5722,      3269.1261,      3205.9288,    -22.2820,     -4.8886,      5.7546
  223,       -18.7098,      3264.2307,      3211.6767,    -22.2820,     -4.9022,      5.7413
